YEAR,MONTH,DATE,AUTOSALE,CPI
1970,1,1970,4.792,0.297
1970,2,1970.083333,4.955,0.298
1970,3,1970.166667,5.639,0.300
1970,4,1970.25,5.975,0.302
1970,5,1970.333333,6.076,0.303
1970,6,1970.416667,6.548,0.305
1970,7,1970.5,6.105,0.306
1970,8,1970.583333,5.365,0.306
1970,9,1970.666667,5.171,0.308
1970,10,1970.75,5.480,0.309
1970,11,1970.833333,4.485,0.311
1970,12,1970.916667,4.650,0.312
1971,1,1971,5.164,0.312
1971,2,1971.083333,5.567,0.313
1971,3,1971.166667,6.917,0.314
1971,4,1971.25,7.098,0.315
1971,5,1971.333333,7.015,0.316
1971,6,1971.416667,7.583,0.319
1971,7,1971.5,6.932,0.319
1971,8,1971.583333,6.448,0.320
1971,9,1971.666667,6.870,0.320
1971,10,1971.75,7.498,0.321
1971,11,1971.833333,7.293,0.321
1971,12,1971.916667,6.333,0.323
1972,1,1972,5.968,0.323
1972,2,1972.083333,6.399,0.324
1972,3,1972.166667,7.882,0.325
1972,4,1972.25,7.656,0.326
1972,5,1972.333333,8.568,0.327
1972,6,1972.416667,8.778,0.327
1972,7,1972.5,7.819,0.329
1972,8,1972.583333,7.748,0.330
1972,9,1972.666667,7.453,0.330
1972,10,1972.75,8.361,0.332
1972,11,1972.833333,8.060,0.333
1972,12,1972.916667,7.643,0.334
1973,1,1973,7.843,0.334
1973,2,1973.083333,7.956,0.337
1973,3,1973.166667,9.832,0.340
1973,4,1973.25,9.368,0.342
1973,5,1973.333333,9.845,0.345
1973,6,1973.416667,9.668,0.347
1973,7,1973.5,9.064,0.348
1973,8,1973.583333,8.859,0.354
1973,9,1973.666667,8.104,0.355
1973,10,1973.75,9.337,0.358
1973,11,1973.833333,8.365,0.360
1973,12,1973.916667,6.652,0.363
1974,1,1974,6.744,0.366
1974,2,1974.083333,6.684,0.370
1974,3,1974.166667,8.175,0.375
1974,4,1974.25,8.704,0.377
1974,5,1974.333333,9.267,0.381
1974,6,1974.416667,9.105,0.385
1974,7,1974.5,9.412,0.388
1974,8,1974.583333,9.389,0.392
1974,9,1974.666667,7.909,0.397
1974,10,1974.75,8.332,0.401
1974,11,1974.833333,7.277,0.404
1974,12,1974.916667,6.553,0.407
1975,1,1975,7.072,0.409
1975,2,1975.083333,7.654,0.412
1975,3,1975.166667,8.063,0.414
1975,4,1975.25,8.937,0.415
1975,5,1975.333333,9.786,0.418
1975,6,1975.416667,9.912,0.421
1975,7,1975.5,10.157,0.425
1975,8,1975.583333,9.225,0.426
1975,9,1975.666667,8.896,0.429
1975,10,1975.75,10.117,0.431
1975,11,1975.833333,8.758,0.434
1975,12,1975.916667,8.771,0.436
1976,1,1976,8.651,0.436
1976,2,1976.083333,9.354,0.438
1976,3,1976.166667,11.446,0.439
1976,4,1976.25,11.880,0.440
1976,5,1976.333333,11.614,0.443
1976,6,1976.416667,12.344,0.446
1976,7,1976.5,11.824,0.448
1976,8,1976.583333,10.944,0.451
1976,9,1976.666667,10.195,0.452
1976,10,1976.75,10.830,0.454
1976,11,1976.833333,10.501,0.455
1976,12,1976.916667,10.586,0.457
1977,1,1977,9.875,0.459
1977,2,1977.083333,10.653,0.464
1977,3,1977.166667,13.492,0.467
1977,4,1977.25,13.407,0.471
1977,5,1977.333333,13.417,0.473
1977,6,1977.416667,14.098,0.476
1977,7,1977.5,13.046,0.479
1977,8,1977.583333,13.363,0.480
1977,9,1977.666667,11.938,0.482
1977,10,1977.75,13.104,0.484
1977,11,1977.833333,12.193,0.486
1977,12,1977.916667,11.543,0.487
1978,1,1978,10.567,0.491
1978,2,1978.083333,11.352,0.494
1978,3,1978.166667,14.857,0.498
1978,4,1978.25,14.686,0.502
1978,5,1978.333333,15.791,0.506
1978,6,1978.416667,16.127,0.512
1978,7,1978.5,14.679,0.516
1978,8,1978.583333,15.064,0.518
1978,9,1978.666667,13.113,0.522
1978,10,1978.75,14.883,0.527
1978,11,1978.833333,14.059,0.529
1978,12,1978.916667,12.887,0.531
1979,1,1979,13.273,0.536
1979,2,1979.083333,13.617,0.542
1979,3,1979.166667,16.839,0.548
1979,4,1979.25,16.189,0.554
1979,5,1979.333333,16.675,0.561
1979,6,1979.416667,15.671,0.568
1979,7,1979.5,14.796,0.574
1979,8,1979.583333,16.151,0.579
1979,9,1979.666667,14.000,0.586
1979,10,1979.75,15.079,0.590
1979,11,1979.833333,13.627,0.596
1979,12,1979.916667,12.724,0.602
1980,1,1980,13.328,0.611
1980,2,1980.083333,13.668,0.619
1980,3,1980.166667,14.311,0.629
1980,4,1980.25,13.369,0.636
1980,5,1980.333333,13.240,0.642
1980,6,1980.416667,13.832,0.649
1980,7,1980.5,14.911,0.649
1980,8,1980.583333,13.930,0.654
1980,9,1980.666667,13.224,0.659
1980,10,1980.75,14.700,0.666
1980,11,1980.833333,12.952,0.671
1980,12,1980.916667,12.684,0.677
1981,1,1981,12.975,0.683
1981,2,1981.083333,13.939,0.690
1981,3,1981.166667,16.809,0.695
1981,4,1981.25,15.772,0.699
1981,5,1981.333333,15.314,0.705
1981,6,1981.416667,16.284,0.711
1981,7,1981.5,16.411,0.719
1981,8,1981.583333,16.872,0.724
1981,9,1981.666667,15.548,0.732
1981,10,1981.75,14.961,0.733
1981,11,1981.833333,13.556,0.735
1981,12,1981.916667,13.462,0.738
1982,1,1982,12.308,0.740
1982,2,1982.083333,14.164,0.743
1982,3,1982.166667,17.440,0.742
1982,4,1982.25,16.875,0.745
1982,5,1982.333333,17.731,0.752
1982,6,1982.416667,16.593,0.761
1982,7,1982.5,16.331,0.765
1982,8,1982.583333,16.178,0.767
1982,9,1982.666667,16.082,0.768
1982,10,1982.75,15.991,0.771
1982,11,1982.833333,17.068,0.769
1982,12,1982.916667,15.679,0.766
1983,1,1983,14.407,0.768
1983,2,1983.083333,15.187,0.768
1983,3,1983.166667,20.099,0.768
1983,4,1983.25,19.129,0.774
1983,5,1983.333333,20.381,0.779
1983,6,1983.416667,22.086,0.781
1983,7,1983.5,20.350,0.784
1983,8,1983.583333,19.870,0.786
1983,9,1983.666667,19.314,0.790
1983,10,1983.75,19.892,0.793
1983,11,1983.833333,19.696,0.794
1983,12,1983.916667,19.568,0.795
1984,1,1984,19.419,0.800
1984,2,1984.083333,21.313,0.804
1984,3,1984.166667,23.614,0.805
1984,4,1984.25,23.688,0.809
1984,5,1984.333333,25.665,0.812
1984,6,1984.416667,25.764,0.814
1984,7,1984.5,23.805,0.817
1984,8,1984.583333,23.605,0.820
1984,9,1984.666667,20.734,0.824
1984,10,1984.75,23.321,0.827
1984,11,1984.833333,21.928,0.827
1984,12,1984.916667,20.464,0.827
1985,1,1985,21.349,0.828
1985,2,1985.083333,21.922,0.832
1985,3,1985.166667,25.870,0.835
1985,4,1985.25,26.980,0.839
1985,5,1985.333333,28.918,0.842
1985,6,1985.416667,26.871,0.845
1985,7,1985.5,27.195,0.846
1985,8,1985.583333,27.606,0.848
1985,9,1985.666667,27.626,0.850
